time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
480722663,-39,-45,-55,-41
480737433,-40,-46,-54,-41
480754951,-42,-48,-54,-40
480776595,-45,-51,-55,-40
480794921,-48,-54,-54,-38
480814905,-47,-52,-53,-39
480835330,-45,-51,-53,-39
480854919,-46,-50,-53,-38
480874959,-43,-50,-52,-41
480895174,-46,-52,-52,-41
480916714,-48,-53,-53,-40
480934975,-49,-55,-53,-40
480955061,-50,-56,-51,-40
480975253,-51,-56,-53,-41
480994939,-50,-55,-52,-40
481014983,-48,-55,-52,-41
481034935,-47,-53,-54,-41
481056898,-47,-51,-55,-41
481074955,-46,-52,-54,-41
481096556,-47,-52,-55,-40
481116334,-46,-52,-56,-41
481134984,-45,-51,-56,-39
481154922,-45,-51,-56,-41
481174939,-45,-50,-54,-41
481194974,-45,-51,-54,-40
481217421,-44,-49,-54,-40
481234934,-43,-49,-55,-40
481254892,-43,-49,-55,-39
481274915,-42,-48,-54,-39
481295696,-42,-49,-55,-38
481315104,-44,-50,-55,-40
481335845,-43,-50,-55,-41
481355057,-44,-50,-55,-40
481374928,-45,-49,-55,-40
481396735,-44,-50,-55,-40
481416245,-44,-50,-56,-41
481435079,-44,-50,-56,-39
481457758,-42,-50,-57,-40
481475111,-42,-49,-57,-41
481494977,-41,-48,-54,-40
481514925,-41,-48,-54,-39
481535001,-39,-45,-53,-40
481554921,-40,-48,-52,-40
481574901,-42,-49,-53,-41
481594929,-44,-50,-52,-41
481615064,-45,-50,-52,-42
481635022,-46,-50,-52,-40
481654901,-45,-50,-55,-42
481676070,-44,-50,-56,-42
481694994,-44,-50,-58,-42
481714938,-43,-49,-56,-40
481734901,-41,-48,-56,-41
481757053,-40,-47,-55,-40
481774929,-40,-47,-54,-43
481797135,-40,-46,-53,-41
481816111,-39,-45,-53,-39
481835499,-39,-45,-52,-39
481855242,-38,-43,-52,-41
481874916,-36,-43,-52,-41
481894923,-39,-42,-52,-41
481914935,-39,-42,-53,-39
481934960,-38,-42,-53,-40
481957653,-37,-41,-56,-41
481975619,-36,-40,-57,-41
481994869,-35,-40,-57,-41
482014908,-35,-39,-55,-40
482034917,-36,-40,-57,-40
482054966,-34,-41,-58,-39
482074918,-36,-41,-58,-42
482096491,-36,-40,-60,-41
482116204,-37,-41,-64,-40
482138567,-37,-41,-69,-41
482155445,-35,-39,-71,-41
482174922,-34,-40,-68,-40
482195415,-34,-38,-67,-41
482216390,-33,-40,-64,-42
482234945,-34,-39,-61,-42
482257543,-34,-41,-57,-41
482276731,-34,-40,-55,-42
482294904,-35,-39,-55,-41
482314942,-35,-40,-55,-39
482334906,-35,-39,-56,-40
482354906,-34,-40,-57,-40
482374906,-35,-41,-59,-41
482394938,-34,-40,-60,-41
482414854,-35,-41,-62,-41
482434919,-33,-41,-62,-42
482454909,-33,-40,-61,-42
482474949,-33,-38,-64,-42
482498437,-33,-39,-64,-41
482536983,-33,-40,-67,-41
482556330,-33,-38,-60,-41
482574901,-33,-41,-61,-40
482594929,-35,-39,-57,-40
482615049,-36,-41,-54,-40
482635045,-37,-41,-55,-41
482654827,-35,-41,-55,-40
482675025,-34,-38,-53,-40
482694904,-32,-39,-57,-42
482714921,-33,-39,-56,-42
482734939,-32,-38,-54,-39
482754942,-30,-35,-54,-39
482776845,-31,-38,-53,-42
482794853,-29,-37,-52,-41
482814907,-33,-38,-51,-40
482834910,-32,-36,-51,-40
482854917,-33,-37,-52,-41
482874903,-33,-39,-52,-41
482896452,-36,-41,-53,-39
482914871,-37,-42,-55,-40
482935126,-36,-43,-56,-41
482954921,-37,-44,-58,-40
482975075,-37,-43,-59,-39
482994915,-35,-43,-56,-40
483014914,-33,-42,-52,-41
483034840,-35,-39,-50,-41
483054880,-35,-41,-47,-41
483076801,-33,-40,-45,-42
483095830,-33,-38,-45,-40
483115187,-35,-40,-46,-41
483134912,-35,-43,-46,-41
483155356,-40,-46,-49,-41
483174832,-42,-48,-52,-42
483198259,-46,-50,-51,-40
483214901,-44,-48,-49,-39
483234972,-40,-45,-46,-40
483254909,-39,-43,-44,-40
483274904,-38,-42,-44,-39
483294896,-38,-43,-45,-41
483314917,-40,-46,-45,-40
483334904,-46,-50,-48,-40
483356580,-53,-56,-50,-39
483374886,-46,-49,-53,-39
483394927,-41,-46,-57,-41
483414911,-40,-46,-52,-40
483438527,-42,-48,-49,-41
483454911,-45,-49,-47,-41
483476722,-49,-53,-46,-41
483494942,-51,-56,-46,-40
483514927,-51,-55,-49,-41
483534884,-49,-51,-51,-40
483554908,-47,-50,-52,-41
483574989,-45,-49,-53,-41
483595039,-47,-49,-52,-40
483615024,-45,-49,-50,-41
483634927,-47,-51,-48,-40
483655239,-48,-52,-46,-40
483674887,-49,-52,-46,-41
483697789,-48,-50,-46,-40
483725826,-44,-48,-47,-41
483734872,-44,-48,-48,-40
483754943,-43,-47,-50,-40
483780255,-43,-49,-50,-40
483794916,-45,-49,-51,-41
483814903,-45,-49,-50,-40
483834890,-43,-46,-52,-40
483856586,-41,-45,-52,-39
483874914,-39,-43,-51,-40
483894898,-36,-42,-51,-39
483914984,-38,-42,-50,-41
483934879,-36,-43,-47,-40
483956751,-36,-44,-47,-41
483974878,-38,-43,-47,-40
483996051,-39,-43,-47,-41
484017389,-39,-44,-51,-40
484037534,-38,-43,-55,-40
484056948,-38,-44,-57,-40
484077504,-37,-41,-62,-40
484094871,-36,-42,-62,-40
484116051,-36,-44,-60,-39
484134864,-38,-43,-57,-41
484154900,-42,-47,-54,-41
484174892,-44,-49,-53,-39
