time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
491160637,-45,-48,-53,-35
491175991,-44,-47,-53,-35
491195978,-43,-48,-52,-35
491219491,-43,-48,-52,-33
491236295,-42,-46,-51,-34
491257507,-42,-46,-51,-34
491276001,-41,-45,-51,-34
491296554,-40,-45,-50,-34
491315977,-41,-45,-49,-35
491336145,-41,-44,-51,-34
491356006,-42,-47,-49,-36
491375994,-41,-46,-49,-35
491395999,-41,-44,-50,-36
491421904,-41,-46,-49,-36
491437809,-41,-47,-49,-34
491458163,-41,-45,-49,-36
491475977,-42,-45,-48,-35
491496258,-42,-45,-48,-36
491515975,-40,-46,-49,-33
491535957,-42,-46,-48,-35
491557397,-40,-47,-48,-35
491576088,-42,-45,-49,-33
491595990,-42,-47,-48,-34
491615969,-39,-46,-49,-34
491636050,-42,-44,-49,-34
491656853,-42,-46,-49,-35
491675974,-40,-46,-49,-35
491697150,-43,-46,-48,-34
491718828,-42,-44,-49,-35
491735961,-42,-46,-49,-34
491755970,-42,-48,-49,-35
491775945,-42,-45,-50,-34
491796863,-42,-47,-48,-34
491815983,-42,-47,-49,-34
491835961,-42,-45,-48,-35
491855958,-40,-46,-48,-34
491875995,-39,-47,-49,-34
491896015,-39,-46,-49,-34
491915978,-41,-44,-49,-35
491935951,-40,-46,-49,-35
491955962,-40,-47,-49,-35
491976723,-41,-47,-48,-35
491995982,-41,-46,-49,-35
492018370,-41,-47,-49,-33
492035967,-41,-46,-49,-36
492058008,-40,-47,-48,-35
492075992,-41,-47,-48,-34
492096064,-41,-46,-49,-35
492115967,-38,-47,-49,-35
492136012,-40,-47,-49,-35
492156096,-40,-46,-50,-33
492175976,-40,-47,-49,-35
492195988,-38,-45,-50,-34
492215976,-39,-46,-49,-35
492236008,-41,-46,-50,-34
492257061,-41,-47,-50,-36
492277085,-41,-47,-50,-35
492299049,-41,-47,-49,-36
492315973,-42,-47,-49,-35
492335964,-42,-47,-50,-35
492355969,-42,-48,-49,-35
492376220,-42,-48,-50,-35
492398418,-41,-47,-49,-36
492418190,-39,-46,-51,-35
492435967,-37,-44,-54,-34
492455970,-38,-43,-55,-35
492475982,-35,-43,-52,-35
492496320,-35,-43,-52,-35
492515957,-34,-42,-51,-33
492536636,-35,-41,-51,-34
492556339,-35,-43,-53,-35
492577941,-37,-42,-53,-34
492595978,-36,-43,-54,-36
492616073,-35,-43,-53,-35
492645250,-35,-43,-53,-34
492656001,-35,-42,-53,-34
492675963,-35,-42,-52,-33
492695946,-34,-42,-51,-35
492715950,-35,-42,-52,-34
492735949,-36,-41,-51,-35
492755956,-35,-41,-52,-35
492775966,-35,-41,-52,-35
492795957,-37,-42,-51,-33
492816236,-34,-42,-51,-35
492837587,-35,-42,-52,-33
492855939,-35,-41,-51,-35
492876029,-34,-41,-51,-34
492895948,-35,-42,-51,-33
492916201,-35,-43,-51,-33
492935965,-35,-42,-51,-33
492956257,-35,-41,-50,-35
492977040,-34,-43,-50,-35
492998831,-34,-42,-51,-34
493015943,-35,-44,-50,-33
493036078,-34,-43,-50,-34
493056393,-35,-42,-50,-34
493076245,-35,-43,-52,-35
493096269,-36,-41,-52,-35
493115961,-34,-42,-51,-34
493135957,-35,-41,-52,-35
493156153,-33,-41,-52,-34
493176086,-34,-41,-53,-35
493195969,-33,-40,-53,-35
493215998,-33,-42,-53,-33
493236424,-31,-40,-53,-34
493255990,-33,-40,-52,-35
493276234,-35,-39,-53,-35
493295961,-32,-40,-53,-35
493316855,-33,-41,-51,-34
493336294,-33,-41,-52,-34
493356047,-34,-41,-51,-35
493378230,-34,-40,-50,-33
493396077,-33,-42,-50,-33
493416126,-33,-41,-50,-35
493436361,-33,-40,-50,-34
493457982,-33,-40,-50,-35
493476174,-34,-42,-49,-35
493495941,-33,-40,-49,-35
493515955,-32,-42,-49,-35
493537672,-33,-40,-49,-35
493557787,-32,-41,-49,-33
493576028,-34,-42,-50,-35
493595964,-33,-42,-50,-33
493615952,-33,-42,-50,-34
493636317,-33,-40,-49,-34
493676109,-34,-42,-50,-35
493695966,-33,-42,-51,-34
493716225,-34,-42,-50,-34
493735924,-34,-43,-50,-35
493755947,-34,-41,-50,-35
493775946,-35,-41,-49,-35
493795936,-34,-43,-49,-34
493815939,-34,-43,-49,-35
493837295,-33,-43,-51,-33
493855943,-34,-42,-51,-36
493877601,-34,-42,-51,-36
493896053,-35,-42,-50,-35
493915999,-34,-41,-50,-35
493935969,-34,-41,-51,-34
493955981,-36,-41,-52,-34
493975932,-34,-42,-52,-35
493997842,-36,-42,-51,-33
494018344,-35,-42,-53,-35
494035963,-37,-42,-51,-33
494056073,-34,-43,-54,-35
494075958,-34,-43,-54,-34
494096024,-34,-44,-54,-34
494116194,-35,-43,-52,-34
494135948,-34,-42,-53,-35
494155948,-37,-44,-52,-34
494175936,-36,-44,-53,-35
494195999,-37,-44,-52,-33
494215948,-34,-44,-52,-33
494235961,-36,-43,-51,-34
494255922,-35,-43,-53,-33
494277147,-35,-43,-51,-34
494296016,-35,-43,-52,-35
494316513,-37,-43,-52,-35
494336195,-36,-42,-52,-33
494356884,-36,-42,-52,-35
494375923,-37,-44,-52,-35
494395935,-36,-44,-52,-34
494415940,-37,-43,-52,-34
494435956,-38,-44,-52,-35
494455962,-35,-45,-52,-33
494476000,-36,-44,-51,-33
494495949,-36,-42,-52,-35
494515955,-36,-42,-53,-34
494538178,-35,-43,-52,-33
494556304,-37,-44,-53,-33
494578419,-35,-43,-53,-34
494595941,-38,-44,-53,-33
494615932,-37,-43,-52,-34
494636354,-35,-44,-52,-34
494655941,-36,-43,-51,-34
494676049,-35,-42,-51,-33
494696050,-37,-44,-52,-35
494715974,-36,-42,-52,-35
494735929,-34,-42,-52,-35
494759561,-33,-42,-52,-33
494775924,-34,-42,-54,-35
494795944,-34,-41,-54,-36
494817680,-34,-43,-55,-35
494837075,-35,-43,-55,-34
494855924,-36,-43,-55,-33
